level = 47, idx = 00, i = 00, j = 00, k = 00
level = 47, idx = 00, i = 00, j = 01, k = 01
level = 47, idx = 00, i = 00, j = 02, k = 02
level = 47, idx = 00, i = 00, j = 03, k = 03
level = 47, idx = 00, i = 01, j = 00, k = 00
level = 47, idx = 00, i = 01, j = 01, k = 01
level = 47, idx = 00, i = 01, j = 02, k = 02
level = 47, idx = 00, i = 02, j = 00, k = 00
level = 47, idx = 00, i = 02, j = 01, k = 01
level = 47, idx = 00, i = 03, j = 00, k = 00
level = 47, idx = 01, i = 00, j = 00, k = 04
level = 47, idx = 01, i = 00, j = 01, k = 05
level = 47, idx = 01, i = 00, j = 02, k = 06
level = 47, idx = 01, i = 00, j = 03, k = 07
level = 47, idx = 01, i = 01, j = 00, k = 04
level = 47, idx = 01, i = 01, j = 01, k = 05
level = 47, idx = 01, i = 01, j = 02, k = 06
level = 47, idx = 01, i = 02, j = 00, k = 04
level = 47, idx = 01, i = 02, j = 01, k = 05
level = 47, idx = 01, i = 03, j = 00, k = 04
level = 47, idx = 02, i = 00, j = 00, k = 08
level = 47, idx = 02, i = 00, j = 01, k = 09
level = 47, idx = 02, i = 00, j = 02, k = 10
level = 47, idx = 02, i = 00, j = 03, k = 11
level = 47, idx = 02, i = 01, j = 00, k = 08
level = 47, idx = 02, i = 01, j = 01, k = 09
level = 47, idx = 02, i = 01, j = 02, k = 10
level = 47, idx = 02, i = 02, j = 00, k = 08
level = 47, idx = 02, i = 02, j = 01, k = 09
level = 47, idx = 02, i = 03, j = 00, k = 08
level = 47, idx = 03, i = 00, j = 00, k = 12
level = 47, idx = 03, i = 00, j = 01, k = 13
level = 47, idx = 03, i = 00, j = 02, k = 14
level = 47, idx = 03, i = 00, j = 03, k = 15
level = 47, idx = 03, i = 01, j = 00, k = 12
level = 47, idx = 03, i = 01, j = 01, k = 13
level = 47, idx = 03, i = 01, j = 02, k = 14
level = 47, idx = 03, i = 02, j = 00, k = 12
level = 47, idx = 03, i = 02, j = 01, k = 13
level = 47, idx = 03, i = 03, j = 00, k = 12
level = 47, idx = 04, i = 00, j = 00, k = 16
level = 47, idx = 04, i = 00, j = 01, k = 17
level = 47, idx = 04, i = 00, j = 02, k = 18
level = 47, idx = 04, i = 00, j = 03, k = 19
level = 47, idx = 04, i = 01, j = 00, k = 16
level = 47, idx = 04, i = 01, j = 01, k = 17
level = 47, idx = 04, i = 01, j = 02, k = 18
level = 47, idx = 04, i = 02, j = 00, k = 16
level = 47, idx = 04, i = 02, j = 01, k = 17
level = 47, idx = 04, i = 03, j = 00, k = 16
level = 47, idx = 05, i = 00, j = 00, k = 20
level = 47, idx = 05, i = 00, j = 01, k = 21
level = 47, idx = 05, i = 00, j = 02, k = 22
level = 47, idx = 05, i = 00, j = 03, k = 23
level = 47, idx = 05, i = 01, j = 00, k = 20
level = 47, idx = 05, i = 01, j = 01, k = 21
level = 47, idx = 05, i = 01, j = 02, k = 22
level = 47, idx = 05, i = 02, j = 00, k = 20
level = 47, idx = 05, i = 02, j = 01, k = 21
level = 47, idx = 05, i = 03, j = 00, k = 20
level = 47, idx = 06, i = 00, j = 00, k = 24
level = 47, idx = 06, i = 00, j = 01, k = 25
level = 47, idx = 06, i = 00, j = 02, k = 26
level = 47, idx = 06, i = 00, j = 03, k = 27
level = 47, idx = 06, i = 01, j = 00, k = 24
level = 47, idx = 06, i = 01, j = 01, k = 25
level = 47, idx = 06, i = 01, j = 02, k = 26
level = 47, idx = 06, i = 02, j = 00, k = 24
level = 47, idx = 06, i = 02, j = 01, k = 25
level = 47, idx = 06, i = 03, j = 00, k = 24
level = 47, idx = 07, i = 00, j = 00, k = 28
level = 47, idx = 07, i = 00, j = 01, k = 29
level = 47, idx = 07, i = 00, j = 02, k = 30
level = 47, idx = 07, i = 00, j = 03, k = 31
level = 47, idx = 07, i = 01, j = 00, k = 28
level = 47, idx = 07, i = 01, j = 01, k = 29
level = 47, idx = 07, i = 01, j = 02, k = 30
level = 47, idx = 07, i = 02, j = 00, k = 28
level = 47, idx = 07, i = 02, j = 01, k = 29
level = 47, idx = 07, i = 03, j = 00, k = 28
level = 47, idx = 08, i = 00, j = 00, k = 32
level = 47, idx = 08, i = 00, j = 01, k = 33
level = 47, idx = 08, i = 00, j = 02, k = 34
level = 47, idx = 08, i = 00, j = 03, k = 35
level = 47, idx = 08, i = 01, j = 00, k = 32
level = 47, idx = 08, i = 01, j = 01, k = 33
level = 47, idx = 08, i = 01, j = 02, k = 34
level = 47, idx = 08, i = 02, j = 00, k = 32
level = 47, idx = 08, i = 02, j = 01, k = 33
level = 47, idx = 08, i = 03, j = 00, k = 32
level = 47, idx = 09, i = 00, j = 00, k = 36
level = 47, idx = 09, i = 00, j = 01, k = 37
level = 47, idx = 09, i = 00, j = 02, k = 38
level = 47, idx = 09, i = 00, j = 03, k = 39
level = 47, idx = 09, i = 01, j = 00, k = 36
level = 47, idx = 09, i = 01, j = 01, k = 37
level = 47, idx = 09, i = 01, j = 02, k = 38
level = 47, idx = 09, i = 02, j = 00, k = 36
level = 47, idx = 09, i = 02, j = 01, k = 37
level = 47, idx = 09, i = 03, j = 00, k = 36
level = 47, idx = 10, i = 00, j = 00, k = 40
level = 47, idx = 10, i = 00, j = 01, k = 41
level = 47, idx = 10, i = 00, j = 02, k = 42
level = 47, idx = 10, i = 00, j = 03, k = 43
level = 47, idx = 10, i = 01, j = 00, k = 40
level = 47, idx = 10, i = 01, j = 01, k = 41
level = 47, idx = 10, i = 01, j = 02, k = 42
level = 47, idx = 10, i = 02, j = 00, k = 40
level = 47, idx = 10, i = 02, j = 01, k = 41
level = 47, idx = 10, i = 03, j = 00, k = 40
level = 47, idx = 11, i = 00, j = 00, k = 44
level = 47, idx = 11, i = 00, j = 01, k = 45
level = 47, idx = 11, i = 00, j = 02, k = 46
level = 47, idx = 11, i = 00, j = 03, k = 47
level = 47, idx = 11, i = 01, j = 00, k = 44
level = 47, idx = 11, i = 01, j = 01, k = 45
level = 47, idx = 11, i = 01, j = 02, k = 46
level = 47, idx = 11, i = 02, j = 00, k = 44
level = 47, idx = 11, i = 02, j = 01, k = 45
level = 47, idx = 11, i = 03, j = 00, k = 44
